,Year,Rank,Team,Pts,W,D,L,F,A
0,2022,1,Real Madrid,86,26,8,4,80,31
1,2022,2,Barcelona,73,21,10,7,68,38
2,2022,3,Atlético de Madrid,71,21,8,9,65,43
3,2022,4,Sevilla,70,18,16,4,53,30
4,2022,5,Betis,65,19,8,11,62,40
5,2022,6,Real Sociedad,62,17,11,10,40,37
6,2022,7,Villarreal,59,16,11,11,63,37
7,2022,8,Athletic Club,55,14,13,11,43,36
8,2022,9,Valencia,48,11,15,12,48,53
9,2022,10,Osasuna,47,12,11,15,37,51
10,2022,11,Celta de Vigo,46,12,10,16,43,43
11,2022,12,Rayo Vallecano,42,11,9,18,39,50
12,2022,13,Elche,42,11,9,18,40,52
13,2022,14,Espanyol,42,10,12,16,40,53
14,2022,15,Getafe,39,8,15,15,33,41
15,2022,16,Mallorca,39,10,9,19,36,63
16,2022,17,Cádiz,39,8,15,15,35,51
17,2022,18,Granada,38,8,14,16,44,61
18,2022,19,Levante,35,8,11,19,51,76
19,2022,20,Alavés,31,8,7,23,31,65
20,2021,1,Atlético de Madrid,86,26,8,4,67,25
21,2021,2,Real Madrid,84,25,9,4,67,28
22,2021,3,Barcelona,79,24,7,7,85,38
23,2021,4,Sevilla,77,24,5,9,53,33
24,2021,5,Real Sociedad,62,17,11,10,59,38
25,2021,6,Betis,61,17,10,11,50,50
26,2021,7,Villarreal,58,15,13,10,60,44
27,2021,8,Celta de Vigo,53,14,11,13,55,57
28,2021,9,Granada,46,13,7,18,47,65
29,2021,10,Athletic Club,46,11,13,14,46,42
30,2021,11,Osasuna,44,11,11,16,37,48
31,2021,12,Cádiz,44,11,11,16,36,58
32,2021,13,Valencia,43,10,13,15,50,53
33,2021,14,Levante,41,9,14,15,46,57
34,2021,15,Getafe,38,9,11,18,28,43
35,2021,16,Alavés,38,9,11,18,36,57
36,2021,17,Elche,36,8,12,18,34,55
37,2021,18,Huesca,34,7,13,18,34,53
38,2021,19,Valladolid,31,5,16,17,34,57
39,2021,20,Eibar,30,6,12,20,29,52
40,2020,1,Real Madrid,87,26,9,3,70,25
41,2020,2,Barcelona,82,25,7,6,86,38
42,2020,3,Atlético de Madrid,70,18,16,4,51,27
43,2020,4,Sevilla,70,19,13,6,54,34
44,2020,5,Villarreal,60,18,6,14,63,49
45,2020,6,Real Sociedad,56,16,8,14,56,48
46,2020,7,Granada,56,16,8,14,52,45
47,2020,8,Getafe,54,14,12,12,43,37
48,2020,9,Valencia,53,14,11,13,46,53
49,2020,10,Osasuna,52,13,13,12,46,54
50,2020,11,Athletic Club,51,13,12,13,41,38
51,2020,12,Levante,49,14,7,17,47,53
52,2020,13,Valladolid,42,9,15,14,32,43
53,2020,14,Eibar,42,11,9,18,39,56
54,2020,15,Betis,41,10,11,17,48,60
55,2020,16,Alavés,39,10,9,19,34,59
56,2020,17,Celta de Vigo,37,7,16,15,37,49
57,2020,18,Leganés,36,8,12,18,30,51
58,2020,19,Mallorca,33,9,6,23,40,65
59,2020,20,Espanyol,25,5,10,23,27,58
60,2019,1,Barcelona,87,26,9,3,90,36
61,2019,2,Atlético de Madrid,76,22,10,6,55,29
62,2019,3,Real Madrid,68,21,5,12,63,46
63,2019,4,Valencia,61,15,16,7,51,35
64,2019,5,Getafe,59,15,14,9,48,35
65,2019,6,Sevilla,59,17,8,13,62,47
66,2019,7,Espanyol,53,14,11,13,48,50
67,2019,8,Athletic Club,53,13,14,11,41,45
68,2019,9,Real Sociedad,50,13,11,14,45,46
69,2019,10,Betis,50,14,8,16,44,52
70,2019,11,Alavés,50,13,11,14,39,50
71,2019,12,Eibar,47,11,14,13,46,50
72,2019,13,Leganés,45,11,12,15,37,43
73,2019,14,Villarreal,44,10,14,14,49,52
74,2019,15,Levante,44,11,11,16,59,66
75,2019,16,Valladolid,41,10,11,17,32,51
76,2019,17,Celta de Vigo,41,10,11,17,53,62
77,2019,18,Girona,37,9,10,19,37,53
78,2019,19,Huesca,33,7,12,19,43,65
79,2019,20,Rayo Vallecano,32,8,8,22,41,70
80,2018,1,Barcelona,93,28,9,1,99,29
81,2018,2,Atlético de Madrid,79,23,10,5,58,22
82,2018,3,Real Madrid,76,22,10,6,94,44
83,2018,4,Valencia,73,22,7,9,65,38
84,2018,5,Villarreal,61,18,7,13,57,50
85,2018,6,Betis,60,18,6,14,60,61
86,2018,7,Sevilla,58,17,7,14,49,58
87,2018,8,Getafe,55,15,10,13,42,33
88,2018,9,Eibar,51,14,9,15,44,50
89,2018,10,Girona,51,14,9,15,50,59
90,2018,11,Espanyol,49,12,13,13,36,42
91,2018,12,Real Sociedad,49,14,7,17,66,59
92,2018,13,Celta de Vigo,49,13,10,15,59,60
93,2018,14,Alavés,47,15,2,21,40,50
94,2018,15,Levante,46,11,13,14,44,58
95,2018,16,Athletic Club,43,10,13,15,41,49
96,2018,17,Leganés,43,12,7,19,34,51
97,2018,18,Deportivo de La Coruña,29,6,11,21,38,76
98,2018,19,Las Palmas,22,5,7,26,24,74
99,2018,20,Málaga,20,5,5,28,24,61
100,2017,1,Real Madrid,93,29,6,3,106,41
101,2017,2,Barcelona,90,28,6,4,116,37
102,2017,3,Atlético de Madrid,78,23,9,6,70,27
103,2017,4,Sevilla,72,21,9,8,69,49
104,2017,5,Villarreal,67,19,10,9,56,33
105,2017,6,Real Sociedad,64,19,7,12,59,53
106,2017,7,Athletic Club,63,19,6,13,53,43
107,2017,8,Espanyol,56,15,11,12,49,50
108,2017,9,Alavés,55,14,13,11,41,43
109,2017,10,Eibar,54,15,9,14,56,51
110,2017,11,Málaga,46,12,10,16,49,55
111,2017,12,Valencia,46,13,7,18,56,65
112,2017,13,Celta de Vigo,45,13,6,19,53,69
113,2017,14,Las Palmas,39,10,9,19,53,74
114,2017,15,Betis,39,10,9,19,41,64
115,2017,16,Deportivo de La Coruña,36,8,12,18,43,61
116,2017,17,Leganés,35,8,11,19,36,55
117,2017,18,Sporting de Gijón,31,7,10,21,42,72
118,2017,19,Osasuna,22,4,10,24,40,94
119,2017,20,Granada,20,4,8,26,30,82
120,2016,1,Barcelona,91,29,4,5,112,29
121,2016,2,Real Madrid,90,28,6,4,110,34
122,2016,3,Atlético de Madrid,88,28,4,6,63,18
123,2016,4,Villarreal,64,18,10,10,44,35
124,2016,5,Athletic Club,62,18,8,12,58,45
125,2016,6,Celta de Vigo,60,17,9,12,51,59
126,2016,7,Sevilla,52,14,10,14,51,50
127,2016,8,Málaga,48,12,12,14,38,35
128,2016,9,Real Sociedad,48,13,9,16,45,48
129,2016,10,Betis,45,11,12,15,34,52
130,2016,11,Las Palmas,44,12,8,18,45,53
131,2016,12,Valencia,44,11,11,16,46,48
132,2016,13,Espanyol,43,12,7,19,40,74
133,2016,14,Eibar,43,11,10,17,49,61
134,2016,15,Deportivo de La Coruña,42,8,18,12,45,61
135,2016,16,Granada,39,10,9,19,46,69
136,2016,17,Sporting de Gijón,39,10,9,19,40,62
137,2016,18,Rayo Vallecano,38,9,11,18,52,73
138,2016,19,Getafe,36,9,9,20,37,67
139,2016,20,Levante,32,8,8,22,37,70
140,2015,1,Barcelona,94,30,4,4,110,21
141,2015,2,Real Madrid,92,30,2,6,118,38
142,2015,3,Atlético de Madrid,78,23,9,6,67,29
143,2015,4,Valencia,77,22,11,5,70,32
144,2015,5,Sevilla,76,23,7,8,71,45
145,2015,6,Villarreal,60,16,12,10,48,37
146,2015,7,Athletic Club,55,15,10,13,42,41
147,2015,8,Celta de Vigo,51,13,12,13,47,44
148,2015,9,Málaga,50,14,8,16,42,48
149,2015,10,Espanyol,49,13,10,15,47,51
150,2015,11,Rayo Vallecano,49,15,4,19,46,68
151,2015,12,Real Sociedad,46,11,13,14,44,51
152,2015,13,Elche,41,11,8,19,35,62
153,2015,14,Levante,37,9,10,19,34,67
154,2015,15,Getafe,37,10,7,21,33,64
155,2015,16,Deportivo de La Coruña,35,7,14,17,35,60
156,2015,17,Granada,35,7,14,17,29,64
157,2015,18,Eibar,35,9,8,21,34,55
158,2015,19,Almería,29,8,8,22,35,64
159,2015,20,Córdoba,20,3,11,24,22,68
160,2014,1,Atlético de Madrid,90,28,6,4,77,26
161,2014,2,Barcelona,87,27,6,5,100,33
162,2014,3,Real Madrid,87,27,6,5,104,38
163,2014,4,Athletic Club,70,20,10,8,66,39
164,2014,5,Sevilla,63,18,9,11,69,52
165,2014,6,Villarreal,59,17,8,13,60,44
166,2014,7,Real Sociedad,59,16,11,11,62,55
167,2014,8,Valencia,49,13,10,15,51,53
168,2014,9,Celta de Vigo,49,14,7,17,49,54
169,2014,10,Levante,48,12,12,14,35,43
170,2014,11,Málaga,45,12,9,17,39,46
171,2014,12,Rayo Vallecano,43,13,4,21,46,80
172,2014,13,Getafe,42,11,9,18,35,54
173,2014,14,Espanyol,42,11,9,18,41,51
174,2014,15,Granada,41,12,5,21,32,56
175,2014,16,Elche,40,9,13,16,30,50
176,2014,17,Almería,40,11,7,20,43,71
177,2014,18,Osasuna,39,10,9,19,32,62
178,2014,19,Valladolid,36,7,15,16,38,60
179,2014,20,Betis,25,6,7,25,36,78
180,2013,1,Barcelona,100,32,4,2,115,40
181,2013,2,Real Madrid,85,26,7,5,103,42
182,2013,3,Atlético de Madrid,76,23,7,8,65,31
183,2013,4,Real Sociedad,66,18,12,8,70,49
184,2013,5,Valencia,65,19,8,11,67,54
185,2013,6,Málaga,57,16,9,13,53,50
186,2013,7,Betis,56,16,8,14,57,56
187,2013,8,Rayo Vallecano,53,16,5,17,50,66
188,2013,9,Sevilla,50,14,8,16,58,54
189,2013,10,Getafe,47,13,8,17,43,57
190,2013,11,Levante,46,12,10,16,40,57
191,2013,12,Athletic Club,45,12,9,17,44,65
192,2013,13,Espanyol,44,11,11,16,43,52
193,2013,14,Valladolid,43,11,10,17,49,58
194,2013,15,Granada,42,11,9,18,37,54
195,2013,16,Osasuna,39,10,9,19,33,50
196,2013,17,Celta de Vigo,37,10,7,21,37,52
197,2013,18,Mallorca,36,9,9,20,43,72
198,2013,19,Deportivo de La Coruña,35,8,11,19,47,70
199,2013,20,Zaragoza,34,9,7,22,37,62
200,2012,1,Real Madrid,100,32,4,2,121,32
201,2012,2,Barcelona,91,28,7,3,114,29
202,2012,3,Valencia,61,17,10,11,59,44
203,2012,4,Málaga,58,17,7,14,54,53
204,2012,5,Atlético de Madrid,56,15,11,12,53,46
205,2012,6,Levante,55,16,7,15,54,50
206,2012,7,Osasuna,54,13,15,10,44,61
207,2012,8,Mallorca,52,14,10,14,42,46
208,2012,9,Sevilla,50,13,11,14,48,47
209,2012,10,Athletic Club,49,12,13,13,49,52
210,2012,11,Getafe,47,12,11,15,40,51
211,2012,12,Real Sociedad,47,12,11,15,46,52
212,2012,13,Betis,47,13,8,17,47,56
213,2012,14,Espanyol,46,12,10,16,46,56
214,2012,15,Rayo Vallecano,43,13,4,21,53,73
215,2012,16,Zaragoza,43,12,7,19,36,61
216,2012,17,Granada,42,12,6,20,35,56
217,2012,18,Villarreal,41,9,14,15,39,53
218,2012,19,Sporting de Gijón,37,10,7,21,42,69
219,2012,20,Racing de Santander,27,4,15,19,28,63
220,2011,1,Barcelona,96,30,6,2,95,21
221,2011,2,Real Madrid,92,29,5,4,102,33
222,2011,3,Valencia,71,21,8,9,64,44
223,2011,4,Villarreal,62,18,8,12,54,44
224,2011,5,Sevilla,58,17,7,14,62,61
225,2011,6,Athletic Club,58,18,4,16,59,55
226,2011,7,Atlético de Madrid,58,17,7,14,62,53
227,2011,8,Espanyol,49,15,4,19,46,55
228,2011,9,Osasuna,47,13,8,17,45,46
229,2011,10,Sporting de Gijón,47,11,14,13,35,42
230,2011,11,Málaga,46,13,7,18,54,68
231,2011,12,Racing de Santander,46,12,10,16,41,56
232,2011,13,Zaragoza,45,12,9,17,40,53
233,2011,14,Levante,45,12,9,17,41,52
234,2011,15,Real Sociedad,45,14,3,21,49,66
235,2011,16,Getafe,44,12,8,18,49,60
236,2011,17,Mallorca,44,12,8,18,41,56
237,2011,18,Deportivo de La Coruña,43,10,13,15,31,47
238,2011,19,Hércules,35,9,8,21,36,60
239,2011,20,Almería,30,6,12,20,36,70
240,2010,1,Barcelona,99,31,6,1,98,24
241,2010,2,Real Madrid,96,31,3,4,102,35
242,2010,3,Valencia,71,21,8,9,59,40
243,2010,4,Sevilla,63,19,6,13,65,49
244,2010,5,Mallorca,62,18,8,12,59,44
245,2010,6,Getafe,58,17,7,14,58,48
246,2010,7,Villarreal,56,16,8,14,58,57
247,2010,8,Athletic Club,54,15,9,14,50,53
248,2010,9,Atlético de Madrid,47,13,8,17,57,61
249,2010,10,Deportivo de La Coruña,47,13,8,17,35,49
250,2010,11,Espanyol,44,11,11,16,29,46
251,2010,12,Osasuna,43,11,10,17,37,46
252,2010,13,Almería,42,10,12,16,43,55
253,2010,14,Zaragoza,41,10,11,17,46,64
254,2010,15,Sporting de Gijón,40,9,13,16,36,51
255,2010,16,Racing de Santander,39,9,12,17,42,59
256,2010,17,Málaga,37,7,16,15,42,48
257,2010,18,Valladolid,36,7,15,16,37,62
258,2010,19,Tenerife,36,9,9,20,40,74
259,2010,20,Xerez,34,8,10,20,38,66
260,2009,1,Barcelona,87,27,6,5,105,35
261,2009,2,Real Madrid,78,25,3,10,83,52
262,2009,3,Sevilla,70,21,7,10,54,39
263,2009,4,Atlético de Madrid,67,20,7,11,80,57
264,2009,5,Villarreal,65,18,11,9,61,54
265,2009,6,Valencia,62,18,8,12,68,54
266,2009,7,Deportivo de La Coruña,58,16,10,12,48,47
267,2009,8,Málaga,55,15,10,13,55,59
268,2009,9,Mallorca,51,14,9,15,53,60
269,2009,10,Espanyol,47,12,11,15,46,49
270,2009,11,Almería,46,13,7,18,45,61
271,2009,12,Racing de Santander,46,12,10,16,49,48
272,2009,13,Athletic Club,44,12,8,18,47,62
273,2009,14,Sporting de Gijón,43,14,1,23,47,79
274,2009,15,Osasuna,43,10,13,15,41,47
275,2009,16,Valladolid,43,12,7,19,46,58
276,2009,17,Getafe,42,10,12,16,50,56
277,2009,18,Betis,42,10,12,16,51,58
278,2009,19,Numancia,35,10,5,23,38,69
279,2009,20,Recreativo de Huelva,33,8,9,21,34,57
280,2008,1,Real Madrid,85,27,4,7,84,36
281,2008,2,Villarreal,77,24,5,9,63,40
282,2008,3,Barcelona,67,19,10,9,76,43
283,2008,4,Atlético de Madrid,64,19,7,12,66,47
284,2008,5,Sevilla,64,20,4,14,75,49
285,2008,6,Racing de Santander,60,17,9,12,42,41
286,2008,7,Mallorca,59,15,14,9,69,54
287,2008,8,Almería,52,14,10,14,42,45
288,2008,9,Deportivo de La Coruña,52,15,7,16,46,47
289,2008,10,Valencia,51,15,6,17,48,62
290,2008,11,Athletic Club,50,13,11,14,40,43
291,2008,12,Espanyol,48,13,9,16,43,53
292,2008,13,Betis,47,12,11,15,45,51
293,2008,14,Getafe,47,12,11,15,44,48
294,2008,15,Valladolid,45,11,12,15,42,57
295,2008,16,Recreativo de Huelva,44,11,11,16,40,60
296,2008,17,Osasuna,43,12,7,19,37,44
297,2008,18,Zaragoza,42,10,12,16,50,61
298,2008,19,Murcia,30,7,9,22,36,65
299,2008,20,Levante,26,7,5,26,33,75
300,2007,1,Real Madrid,76,23,7,8,66,40
301,2007,2,Barcelona,76,22,10,6,78,33
302,2007,3,Sevilla,71,21,8,9,64,35
303,2007,4,Valencia,66,20,6,12,57,42
304,2007,5,Villarreal,62,18,8,12,48,44
305,2007,6,Zaragoza,60,16,12,10,55,43
306,2007,7,Atlético de Madrid,60,17,9,12,46,39
307,2007,8,Recreativo de Huelva,54,15,9,14,54,52
308,2007,9,Getafe,52,14,10,14,39,33
309,2007,10,Racing de Santander,50,12,14,12,42,48
310,2007,11,Espanyol,49,12,13,13,46,53
311,2007,12,Mallorca,49,14,7,17,41,47
312,2007,13,Deportivo de La Coruña,47,12,11,15,32,45
313,2007,14,Osasuna,46,13,7,18,51,49
314,2007,15,Levante,42,10,12,16,37,53
315,2007,16,Betis,40,8,16,14,36,49
316,2007,17,Athletic Club,40,10,10,18,44,62
317,2007,18,Celta de Vigo,39,10,9,19,40,59
318,2007,19,Real Sociedad,35,8,11,19,32,47
319,2007,20,Gimnàstic de Tarragona,28,7,7,24,34,69
320,2006,1,Barcelona,82,25,7,6,80,35
321,2006,2,Real Madrid,70,20,10,8,70,40
322,2006,3,Valencia,69,19,12,7,58,33
323,2006,4,Osasuna,68,21,5,12,49,43
324,2006,5,Sevilla,68,20,8,10,54,39
325,2006,6,Celta de Vigo,64,20,4,14,45,33
326,2006,7,Villarreal,57,14,15,9,50,39
327,2006,8,Deportivo de La Coruña,55,15,10,13,47,45
328,2006,9,Getafe,54,15,9,14,54,49
329,2006,10,Atlético de Madrid,52,13,13,12,45,37
330,2006,11,Zaragoza,46,10,16,12,46,51
331,2006,12,Athletic Club,45,11,12,15,40,46
332,2006,13,Mallorca,43,10,13,15,37,51
333,2006,14,Betis,42,10,12,16,34,51
334,2006,15,Espanyol,41,10,11,17,36,56
335,2006,16,Real Sociedad,40,11,7,20,48,65
336,2006,17,Racing de Santander,40,9,13,16,36,49
337,2006,18,Alavés,39,9,12,17,35,54
338,2006,19,Cádiz,36,8,12,18,36,52
339,2006,20,Málaga,24,5,9,24,36,68
340,2005,1,Barcelona,84,25,9,4,73,29
341,2005,2,Real Madrid,80,25,5,8,71,32
342,2005,3,Villarreal,65,18,11,9,69,37
343,2005,4,Betis,62,16,14,8,62,50
344,2005,5,Espanyol,61,17,10,11,54,46
345,2005,6,Sevilla,60,17,9,12,44,41
346,2005,7,Valencia,58,14,16,8,54,39
347,2005,8,Deportivo de La Coruña,51,12,15,11,46,50
348,2005,9,Athletic Club,51,14,9,15,59,54
349,2005,10,Málaga,51,15,6,17,40,48
350,2005,11,Atlético de Madrid,50,13,11,14,40,34
351,2005,12,Zaragoza,50,14,8,16,52,57
352,2005,13,Getafe,47,12,11,15,38,46
353,2005,14,Real Sociedad,47,13,8,17,47,56
354,2005,15,Osasuna,46,12,10,16,46,65
355,2005,16,Racing de Santander,44,12,8,18,41,58
356,2005,17,Mallorca,39,10,9,19,42,63
357,2005,18,Levante,37,9,10,19,39,58
358,2005,19,Numancia,29,6,11,21,30,61
359,2005,20,Albacete,28,6,10,22,33,56
360,2004,1,Valencia,77,23,8,7,71,27
361,2004,2,Barcelona,72,21,9,8,63,39
362,2004,3,Deportivo de La Coruña,71,21,8,9,60,34
363,2004,4,Real Madrid,70,21,7,10,72,54
364,2004,5,Athletic Club,56,15,11,12,53,49
365,2004,6,Sevilla,55,15,10,13,56,45
366,2004,7,Atlético de Madrid,55,15,10,13,51,53
367,2004,8,Villarreal,54,15,9,14,47,49
368,2004,9,Betis,52,13,13,12,46,43
369,2004,10,Málaga,51,15,6,17,50,55
370,2004,11,Mallorca,51,15,6,17,54,66
371,2004,12,Zaragoza,48,13,9,16,46,55
372,2004,13,Osasuna,48,11,15,12,38,37
373,2004,14,Albacete,47,13,8,17,40,48
374,2004,15,Real Sociedad,46,11,13,14,49,53
375,2004,16,Espanyol,43,13,4,21,48,64
376,2004,17,Racing de Santander,42,11,10,17,48,63
377,2004,18,Valladolid,41,10,11,17,46,56
378,2004,19,Celta de Vigo,39,9,12,17,48,68
379,2004,20,Murcia,26,5,11,22,29,57
380,2003,1,Real Madrid,78,22,12,4,86,42
381,2003,2,Real Sociedad,76,22,10,6,71,45
382,2003,3,Deportivo de La Coruña,72,22,6,10,67,47
383,2003,4,Celta de Vigo,61,17,10,11,45,36
384,2003,5,Valencia,60,17,9,12,56,35
385,2003,6,Barcelona,56,15,11,12,63,47
386,2003,7,Athletic Club,55,15,10,13,63,61
387,2003,8,Betis,54,14,12,12,56,53
388,2003,9,Mallorca,52,14,10,14,49,56
389,2003,10,Sevilla,50,13,11,14,38,39
390,2003,11,Osasuna,47,12,11,15,40,48
391,2003,12,Atlético de Madrid,47,12,11,15,51,56
392,2003,13,Málaga,46,11,13,14,44,49
393,2003,14,Valladolid,46,12,10,16,37,40
